Name,Price,Rating,Image_URL
Samsung Galaxy A24 - 6.5 inches 128GB/6GB RAM - Dual SIM 4G Mobile Phone – Silver,"جنيه 7,899.00",4.3 out of 5,image_Samsung Galaxy A24 - 6.5 inches 128GB_6GB RAM - Dual SIM 4G Mobile Phone Silver.jpg
Samsung Galaxy A24 - 6.5 inches 128GB/6GB RAM - Dual SIM 4G Mobile Phone – Silver,"جنيه 7,899.00",4.3 out of 5,image_Samsung Galaxy A24 - 6.5 inches 128GB_6GB RAM - Dual SIM 4G Mobile Phone Silver.jpg
Samsung Galaxy A24 - 6.5 inches 128GB/6GB RAM - Dual SIM 4G Mobile Phone – Black,"جنيه 7,899.00",4.4 out of 5,image_Samsung Galaxy A24 - 6.5 inches 128GB_6GB RAM - Dual SIM 4G Mobile Phone Black.jpg
Samsung Galaxy A24 - 6.5 inches 128GB/6GB RAM - Dual SIM 4G Mobile Phone – Black,"جنيه 7,899.00",4.4 out of 5,image_Samsung Galaxy A24 - 6.5 inches 128GB_6GB RAM - Dual SIM 4G Mobile Phone Black.jpg
Samsung A24 6.5 Inch 128GB/8GB Dual SIM Mobile Phone – Black,"جنيه 8,499.00",4.9 out of 5,image_Samsung A24 6.5 Inch 128GB_8GB Dual SIM Mobile Phone Black.jpg
Samsung A24 6.5 Inch 128GB/8GB Dual SIM Mobile Phone – Black,"جنيه 8,499.00",4.9 out of 5,image_Samsung A24 6.5 Inch 128GB_8GB Dual SIM Mobile Phone Black.jpg
Nokia Nokia نوكيا 105 موبايل ثنائي الشريحة 1.8 بوصة - أسود,جنيه 600.00,3 out of 5,image_Nokia Nokia 105 1.8 -.jpg
Nokia Nokia نوكيا 105 موبايل ثنائي الشريحة 1.8 بوصة - أسود,جنيه 600.00,3 out of 5,image_Nokia Nokia 105 1.8 -.jpg
Samsung Galaxy A24 - 6.5-inch 128GB/8GB Dual Sim 4G Mobile Phone - Silver,"جنيه 8,999.00",4.7 out of 5,image_Samsung Galaxy A24 - 6.5-inch 128GB_8GB Dual Sim 4G Mobile Phone - Silver.jpg
Samsung Galaxy A24 - 6.5-inch 128GB/8GB Dual Sim 4G Mobile Phone - Silver,"جنيه 8,999.00",4.7 out of 5,image_Samsung Galaxy A24 - 6.5-inch 128GB_8GB Dual Sim 4G Mobile Phone - Silver.jpg
Iku S3 Dual SIM Mobile Phone  – Gray,جنيه 515.00,1 out of 5,image_Iku S3 Dual SIM Mobile Phone Gray.jpg
Iku S3 Dual SIM Mobile Phone  – Gray,جنيه 515.00,1 out of 5,image_Iku S3 Dual SIM Mobile Phone Gray.jpg
Samsung Galaxy A14 - 6.6-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Black,"جنيه 6,699.00",4 out of 5,image_Samsung Galaxy A14 - 6.6-inch 4GB_128GB Dual Sim 4G - Mobile Phone - Black.jpg
Samsung Galaxy A14 - 6.6-inch 4GB/128GB Dual Sim 4G - Mobile Phone - Black,"جنيه 6,699.00",4 out of 5,image_Samsung Galaxy A14 - 6.6-inch 4GB_128GB Dual Sim 4G - Mobile Phone - Black.jpg
Samsung Galaxy A04s - 6.5-inch 3GB/32GB Dual Sim 4G Mobile Phone - Black,"جنيه 3,999.00",4.2 out of 5,image_Samsung Galaxy A04s - 6.5-inch 3GB_32GB Dual Sim 4G Mobile Phone - Black.jpg
Samsung Galaxy A04s - 6.5-inch 3GB/32GB Dual Sim 4G Mobile Phone - Black,"جنيه 3,999.00",4.2 out of 5,image_Samsung Galaxy A04s - 6.5-inch 3GB_32GB Dual Sim 4G Mobile Phone - Black.jpg
realme 11 Pro Plus 6.7inch 512GB/12GB Dual SIM Mobile Phone - Sunrise Beige,"جنيه 17,394.00",1 out of 5,image_realme 11 Pro Plus 6.7inch 512GB_12GB Dual SIM Mobile Phone - Sunrise Beige.jpg
realme 11 Pro Plus 6.7inch 512GB/12GB Dual SIM Mobile Phone - Sunrise Beige,"جنيه 17,394.00",1 out of 5,image_realme 11 Pro Plus 6.7inch 512GB_12GB Dual SIM Mobile Phone - Sunrise Beige.jpg
XIAOMI Redmi 10 2022- 6.5-inch 64GB/4GB Single SIM Mobile Phone - Sea Blue,"جنيه 5,999.00",4.7 out of 5,image_XIAOMI Redmi 10 2022- 6.5-inch 64GB_4GB Single SIM Mobile Phone - Sea Blue.jpg
XIAOMI Redmi 10 2022- 6.5-inch 64GB/4GB Single SIM Mobile Phone - Sea Blue,"جنيه 5,999.00",4.7 out of 5,image_XIAOMI Redmi 10 2022- 6.5-inch 64GB_4GB Single SIM Mobile Phone - Sea Blue.jpg
Samsung Galaxy A14 - 6.6-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Light Green,"جنيه 5,777.00",4.6 out of 5,image_Samsung Galaxy A14 - 6.6-inch 4GB_64GB Dual Sim 4G - Mobile Phone - Light Green.jpg
Samsung Galaxy A14 - 6.6-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Light Green,"جنيه 5,777.00",4.6 out of 5,image_Samsung Galaxy A14 - 6.6-inch 4GB_64GB Dual Sim 4G - Mobile Phone - Light Green.jpg
XIAOMI Redmi 12C - 6.71-inch 4GB/128GB Dual Sim 4G Mobile Phone - Graphite Gray,"جنيه 5,495.00",5 out of 5,image_XIAOMI Redmi 12C - 6.71-inch 4GB_128GB Dual Sim 4G Mobile Phone - Graphite Gray.jpg
XIAOMI Redmi 12C - 6.71-inch 4GB/128GB Dual Sim 4G Mobile Phone - Graphite Gray,"جنيه 5,495.00",5 out of 5,image_XIAOMI Redmi 12C - 6.71-inch 4GB_128GB Dual Sim 4G Mobile Phone - Graphite Gray.jpg
Samsung Galaxy A04s - 6.5-inch 3GB/32GB Dual Sim 4G Mobile Phone - Copper,"جنيه 3,999.00",4.1 out of 5,image_Samsung Galaxy A04s - 6.5-inch 3GB_32GB Dual Sim 4G Mobile Phone - Copper.jpg
Samsung Galaxy A04s - 6.5-inch 3GB/32GB Dual Sim 4G Mobile Phone - Copper,"جنيه 3,999.00",4.1 out of 5,image_Samsung Galaxy A04s - 6.5-inch 3GB_32GB Dual Sim 4G Mobile Phone - Copper.jpg
OPPO A78 - 6.43-Inch 256GB/8GB 4G Mobile Phone - Mist Black,"جنيه 8,940.00",4.7 out of 5,image_OPPO A78 - 6.43-Inch 256GB_8GB 4G Mobile Phone - Mist Black.jpg
OPPO A78 - 6.43-Inch 256GB/8GB 4G Mobile Phone - Mist Black,"جنيه 8,940.00",4.7 out of 5,image_OPPO A78 - 6.43-Inch 256GB_8GB 4G Mobile Phone - Mist Black.jpg
Samsung Galaxy A24 - 6.5-inch 128GB/6GB Dual Sim 4G Mobile Phone - Silver,"جنيه 8,195.00",4.5 out of 5,image_Samsung Galaxy A24 - 6.5-inch 128GB_6GB Dual Sim 4G Mobile Phone - Silver.jpg
Samsung Galaxy A24 - 6.5-inch 128GB/6GB Dual Sim 4G Mobile Phone - Silver,"جنيه 8,195.00",4.5 out of 5,image_Samsung Galaxy A24 - 6.5-inch 128GB_6GB Dual Sim 4G Mobile Phone - Silver.jpg
XIAOMI Redmi 12C - 6.71-inch 6GB/128GB Dual Sim 4G Mobile Phone - Ocean Blue,"جنيه 5,990.00",5 out of 5,image_XIAOMI Redmi 12C - 6.71-inch 6GB_128GB Dual Sim 4G Mobile Phone - Ocean Blue.jpg
XIAOMI Redmi 12C - 6.71-inch 6GB/128GB Dual Sim 4G Mobile Phone - Ocean Blue,"جنيه 5,990.00",5 out of 5,image_XIAOMI Redmi 12C - 6.71-inch 6GB_128GB Dual Sim 4G Mobile Phone - Ocean Blue.jpg
Samsung Galaxy A14 - 6.6-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Black,"جنيه 5,774.00",4.3 out of 5,image_Samsung Galaxy A14 - 6.6-inch 4GB_64GB Dual Sim 4G - Mobile Phone - Black.jpg
Samsung Galaxy A14 - 6.6-inch 4GB/64GB Dual Sim 4G - Mobile Phone - Black,"جنيه 5,774.00",4.3 out of 5,image_Samsung Galaxy A14 - 6.6-inch 4GB_64GB Dual Sim 4G - Mobile Phone - Black.jpg
XIAOMI Redmi 12C – 6.71 Inch – 4GB/128GB RAM - Dual SIM - 4G Mobile Phone – Ocean Blue,"جنيه 5,499.00",4.2 out of 5,image_XIAOMI Redmi 12C 6.71 Inch 4GB_128GB RAM - Dual SIM - 4G Mobile Phone Ocean Blue.jpg
XIAOMI Redmi 12C – 6.71 Inch – 4GB/128GB RAM - Dual SIM - 4G Mobile Phone – Ocean Blue,"جنيه 5,499.00",4.2 out of 5,image_XIAOMI Redmi 12C 6.71 Inch 4GB_128GB RAM - Dual SIM - 4G Mobile Phone Ocean Blue.jpg
OPPO Reno 8T - 6.43 Inch - 8GB/256GB RAM - 4G - Dual SIM Mobile Phone - Sunset Orange,"جنيه 11,111.00",5 out of 5,image_OPPO Reno 8T - 6.43 Inch - 8GB_256GB RAM - 4G - Dual SIM Mobile Phone - Sunset Orange.jpg
OPPO Reno 8T - 6.43 Inch - 8GB/256GB RAM - 4G - Dual SIM Mobile Phone - Sunset Orange,"جنيه 11,111.00",5 out of 5,image_OPPO Reno 8T - 6.43 Inch - 8GB_256GB RAM - 4G - Dual SIM Mobile Phone - Sunset Orange.jpg
realme 11 PRO - 6.7-Inch 256GB/8GB 5G Mobile Phone - Black,"جنيه 13,990.00",nan,image_realme 11 PRO - 6.7-Inch 256GB_8GB 5G Mobile Phone - Black.jpg
realme 11 PRO - 6.7-Inch 256GB/8GB 5G Mobile Phone - Black,"جنيه 13,990.00",nan,image_realme 11 PRO - 6.7-Inch 256GB_8GB 5G Mobile Phone - Black.jpg
OPPO Reno 8 T - 6.43-inch 256GB/8GB Dual SIM 4G Mobile Phone - Sunset Orange (D),"جنيه 11,299.99",4.8 out of 5,image_OPPO Reno 8 T - 6.43-inch 256GB_8GB Dual SIM 4G Mobile Phone - Sunset Orange D.jpg
OPPO Reno 8 T - 6.43-inch 256GB/8GB Dual SIM 4G Mobile Phone - Sunset Orange (D),"جنيه 11,299.99",4.8 out of 5,image_OPPO Reno 8 T - 6.43-inch 256GB_8GB Dual SIM 4G Mobile Phone - Sunset Orange D.jpg
OPPO A78 - 6.43-inch 256GB/8GB Dual SIM 4G Mobile Phone - Aqua Green (D),"جنيه 8,999.99",5 out of 5,image_OPPO A78 - 6.43-inch 256GB_8GB Dual SIM 4G Mobile Phone - Aqua Green D.jpg
OPPO A78 - 6.43-inch 256GB/8GB Dual SIM 4G Mobile Phone - Aqua Green (D),"جنيه 8,999.99",5 out of 5,image_OPPO A78 - 6.43-inch 256GB_8GB Dual SIM 4G Mobile Phone - Aqua Green D.jpg
Samsung Galaxy A34 5G - 6.6-inch 8GB/128GB Dual Sim - Mobile Phone - Awesome Graphite,"جنيه 12,444.00",5 out of 5,image_Samsung Galaxy A34 5G - 6.6-inch 8GB_128GB Dual Sim - Mobile Phone - Awesome Graphite.jpg
Samsung Galaxy A34 5G - 6.6-inch 8GB/128GB Dual Sim - Mobile Phone - Awesome Graphite,"جنيه 12,444.00",5 out of 5,image_Samsung Galaxy A34 5G - 6.6-inch 8GB_128GB Dual Sim - Mobile Phone - Awesome Graphite.jpg
realme C55 – 6.72 Inch – 256GB/8GB RAM – Dual SIM 4G Mobile Phone – Rainy Night,"جنيه 7,690.00",4 out of 5,image_realme C55 6.72 Inch 256GB_8GB RAM Dual SIM 4G Mobile Phone Rainy Night.jpg
realme C55 – 6.72 Inch – 256GB/8GB RAM – Dual SIM 4G Mobile Phone – Rainy Night,"جنيه 7,690.00",4 out of 5,image_realme C55 6.72 Inch 256GB_8GB RAM Dual SIM 4G Mobile Phone Rainy Night.jpg
XIAOMI Redmi 12C – 6.71 Inch – 4GB/128GB RAM - Dual SIM - 4G Mobile Phone – Graphite Gray,"جنيه 5,399.00",3.3 out of 5,image_XIAOMI Redmi 12C 6.71 Inch 4GB_128GB RAM - Dual SIM - 4G Mobile Phone Graphite Gray.jpg
XIAOMI Redmi 12C – 6.71 Inch – 4GB/128GB RAM - Dual SIM - 4G Mobile Phone – Graphite Gray,"جنيه 5,399.00",3.3 out of 5,image_XIAOMI Redmi 12C 6.71 Inch 4GB_128GB RAM - Dual SIM - 4G Mobile Phone Graphite Gray.jpg
Nokia C10 - 6.52-inch 32GB/2GB Dual Sim  Mobile Phone - Light Purple,"جنيه 2,599.99",4.7 out of 5,image_Nokia C10 - 6.52-inch 32GB_2GB Dual Sim Mobile Phone - Light Purple.jpg
Nokia C10 - 6.52-inch 32GB/2GB Dual Sim  Mobile Phone - Light Purple,"جنيه 2,599.99",4.7 out of 5,image_Nokia C10 - 6.52-inch 32GB_2GB Dual Sim Mobile Phone - Light Purple.jpg
realme C55 6.7inch 256GB/8GB Dual SIM Mobile Phone - Rainy Night,"جنيه 7,900.00",5 out of 5,image_realme C55 6.7inch 256GB_8GB Dual SIM Mobile Phone - Rainy Night.jpg
realme C55 6.7inch 256GB/8GB Dual SIM Mobile Phone - Rainy Night,"جنيه 7,900.00",5 out of 5,image_realme C55 6.7inch 256GB_8GB Dual SIM Mobile Phone - Rainy Night.jpg
Nokia Egypt Nokia نوكيا 106 - موبايل 1.8 بوصة ثنائي الشريحة - اسود,جنيه 669.00,3.4 out of 5,image_Nokia Egypt Nokia 106 - 1.8 -.jpg
Nokia Egypt Nokia نوكيا 106 - موبايل 1.8 بوصة ثنائي الشريحة - اسود,جنيه 669.00,3.4 out of 5,image_Nokia Egypt Nokia 106 - 1.8 -.jpg
Nokia C1 2EDATION - 5.45 -Inch 16GB/1GB -TA-1380 - Dual SIM Mobile Phone - Blue,"جنيه 1,799.99",3.5 out of 5,image_Nokia C1 2EDATION - 5.45 -Inch 16GB_1GB -TA-1380 - Dual SIM Mobile Phone - Blue.jpg
Nokia C1 2EDATION - 5.45 -Inch 16GB/1GB -TA-1380 - Dual SIM Mobile Phone - Blue,"جنيه 1,799.99",3.5 out of 5,image_Nokia C1 2EDATION - 5.45 -Inch 16GB_1GB -TA-1380 - Dual SIM Mobile Phone - Blue.jpg
XIAOMI Redmi 12C - 6.71-inch 4GB/128GB Dual Sim 4G Mobile Phone - Ocean Blue,"جنيه 5,495.00",4.2 out of 5,image_XIAOMI Redmi 12C - 6.71-inch 4GB_128GB Dual Sim 4G Mobile Phone - Ocean Blue.jpg
XIAOMI Redmi 12C - 6.71-inch 4GB/128GB Dual Sim 4G Mobile Phone - Ocean Blue,"جنيه 5,495.00",4.2 out of 5,image_XIAOMI Redmi 12C - 6.71-inch 4GB_128GB Dual Sim 4G Mobile Phone - Ocean Blue.jpg
Samsung Galaxy A04e - 6.5-inch 64GB/3GB Dual Sim 4G Mobile Phone - Copper,"جنيه 4,545.00",4.5 out of 5,image_Samsung Galaxy A04e - 6.5-inch 64GB_3GB Dual Sim 4G Mobile Phone - Copper.jpg
Samsung Galaxy A04e - 6.5-inch 64GB/3GB Dual Sim 4G Mobile Phone - Copper,"جنيه 4,545.00",4.5 out of 5,image_Samsung Galaxy A04e - 6.5-inch 64GB_3GB Dual Sim 4G Mobile Phone - Copper.jpg
OPPO Reno 8 T - 6.43-inch 256GB/8GB Dual SIM 4G Mobile Phone - Midnight Black (D),"جنيه 11,299.99",4.1 out of 5,image_OPPO Reno 8 T - 6.43-inch 256GB_8GB Dual SIM 4G Mobile Phone - Midnight Black D.jpg
OPPO Reno 8 T - 6.43-inch 256GB/8GB Dual SIM 4G Mobile Phone - Midnight Black (D),"جنيه 11,299.99",4.1 out of 5,image_OPPO Reno 8 T - 6.43-inch 256GB_8GB Dual SIM 4G Mobile Phone - Midnight Black D.jpg
realme C55 - 6.7-Inch 256GB/8GB Dual SIM 4G Mobile Phone - Rainy Night,"جنيه 7,899.00",5 out of 5,image_realme C55 - 6.7-Inch 256GB_8GB Dual SIM 4G Mobile Phone - Rainy Night.jpg
realme C55 - 6.7-Inch 256GB/8GB Dual SIM 4G Mobile Phone - Rainy Night,"جنيه 7,899.00",5 out of 5,image_realme C55 - 6.7-Inch 256GB_8GB Dual SIM 4G Mobile Phone - Rainy Night.jpg
OPPO OPPO Reno 8 5G - 6.4-inch 256GB/8GB Dual SIM  Mobile Phone - Shimmer Black (D),"جنيه 14,799.99",nan,image_OPPO OPPO Reno 8 5G - 6.4-inch 256GB_8GB Dual SIM Mobile Phone - Shimmer Black D.jpg
OPPO OPPO Reno 8 5G - 6.4-inch 256GB/8GB Dual SIM  Mobile Phone - Shimmer Black (D),"جنيه 14,799.99",nan,image_OPPO OPPO Reno 8 5G - 6.4-inch 256GB_8GB Dual SIM Mobile Phone - Shimmer Black D.jpg
OPPO Find X5 - 6.55-Inch 256GB/8GB 5G Mobile Phone - White,"جنيه 17,990.00",nan,image_OPPO Find X5 - 6.55-Inch 256GB_8GB 5G Mobile Phone - White.jpg
OPPO Find X5 - 6.55-Inch 256GB/8GB 5G Mobile Phone - White,"جنيه 17,990.00",nan,image_OPPO Find X5 - 6.55-Inch 256GB_8GB 5G Mobile Phone - White.jpg
Samsung Galaxy A24 - 6.5-inch 128GB/8GB Dual Sim 4G Mobile Phone - Black,"جنيه 8,999.00",nan,image_Samsung Galaxy A24 - 6.5-inch 128GB_8GB Dual Sim 4G Mobile Phone - Black.jpg
Samsung Galaxy A24 - 6.5-inch 128GB/8GB Dual Sim 4G Mobile Phone - Black,"جنيه 8,999.00",nan,image_Samsung Galaxy A24 - 6.5-inch 128GB_8GB Dual Sim 4G Mobile Phone - Black.jpg
Iku S5 Dual SIM Mobile Phone  – Black,جنيه 630.00,1 out of 5,image_Iku S5 Dual SIM Mobile Phone Black.jpg
Iku S5 Dual SIM Mobile Phone  – Black,جنيه 630.00,1 out of 5,image_Iku S5 Dual SIM Mobile Phone Black.jpg
Nokia نوكيا C1 الاصدار الثاني بشريحتين اتصال، 16 جيجا، 1 جيجا رام، شبكة الجيل الثالث، بنفسجي,"جنيه 1,999.00",4 out of 5,image_Nokia C1 16 1.jpg
Nokia نوكيا C1 الاصدار الثاني بشريحتين اتصال، 16 جيجا، 1 جيجا رام، شبكة الجيل الثالث، بنفسجي,"جنيه 1,999.00",4 out of 5,image_Nokia C1 16 1.jpg
Nokia نوكيا C1 الاصدار الثاني بشريحتين اتصال، 16 جيجا، 1 جيجا رام، شبكة الجيل الثالث، ازرق,"جنيه 1,999.00",5 out of 5,image_Nokia C1 16 1.jpg
Nokia نوكيا C1 الاصدار الثاني بشريحتين اتصال، 16 جيجا، 1 جيجا رام، شبكة الجيل الثالث، ازرق,"جنيه 1,999.00",5 out of 5,image_Nokia C1 16 1.jpg
Nokia Nokia نوكيا 210 - موبايل 2.4 بوصة ثنائي الشريحة - اسود,"جنيه 1,199.00",3.3 out of 5,image_Nokia Nokia 210 - 2.4 -.jpg
Nokia Nokia نوكيا 210 - موبايل 2.4 بوصة ثنائي الشريحة - اسود,"جنيه 1,199.00",3.3 out of 5,image_Nokia Nokia 210 - 2.4 -.jpg
